rating,date,content,visit_time,reservation,wait_time
4.5,2026년 7월 6일 월요일,"주말엔 엄두가 안나서 평일이라 방문 해 봤어요.평일이래도 대기줄은 있더라고요.대전역점에 카레고로게가 없어서 방문했어요.구매내역ㅡ 카레고로게 2,800먹고 싶었던 빵이라 왕충 구매했어요.카레고로게는 약간 매콤하면서도 씹히는 맛도 있고 먹고 나면 든든하기도 하고 아주 맛있어요.본점은 거의 20년만에 방문했어요.예전과는 많이 달라진것 같아요.제가 생각하는 매장은 1,2층으로 컸는 데 굉장히 작아진 것 같아요.매장안은 빵줄이 아니라고 고르고 싶은거 고르라는 데 사람이 많아 비집고 들어가기 힘들어요.왠지 새치기 하는 느낌이기도 하고 그냥 줄 따라 가면서 빵을 고르는게 편해요.본점은 다시 안 올 것 같아요.올라올 때 대전역점에 가니 카레고로게가 있더라고요.#오늘클립챌린지",점심에 방문,예약 없이 이용,30분 이내
4.5,2026년 7월 6일 월요일,빵집에 들어가서 회전초밥처럼 돌면서 빵을 담을 수 있어요. 오후에 가도 종류가 많았고 계산할 수 있는 곳도 많아서 좋아요. 빵이 저렴해서 많이 샀어요!,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 6일 월요일,"튀소, 명란바켙  너무 맛있어요",점심에 방문,,
5,2026년 7월 6일 월요일,말차크라상 👍,점심에 방문,,10분 이내
5,2026년 7월 5일 일요일,말해뭐해미친맛이니 그냥 가야함,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 5일 일요일,다양한 빵과 재고 걱정이 된다면 이곳,점심에 방문,예약 없이 이용,10분 이내
4,2026년 7월 5일 일요일,연어샌드위치 사러갔는데 여름엔 안한다고해서 다른거만 사왔네요 샌드위치는 그냥그러네요  안기다린건 좋아요,점심에 방문,예약 없이 이용,바로 입장
4.5,2026년 7월 5일 일요일,긋,점심에 방문,,
5,2026년 7월 5일 일요일,최고에요,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 5일 일요일,첫 성심당 행복했다말차튀소 두개살걸애플브리치즈 존맛 이것만 먹고 살고싶다,점심에 방문,예약 없이 이용,30분 이내
